site,date,species,plant_no,pv_dry,sla_dry,sla_no_disks,size_mm2
laselva,10/8/2017,cyclopeltis_semicordata,7,0.2895,0.0058,10,5
laselva,10/8/2017,cyclopeltis_semicordata,8,0.2684,0.0047,10,5
laselva,10/7/2017,diplazium_straitastrum,1,0.2401,0.0035,10,5
laselva,10/7/2017,diplazium_straitastrum,2,0.1435,0.006,10,5
laselva,10/7/2017,diplazium_straitastrum,3,0.2588,0.0049,10,5
laselva,10/7/2017,diplazium_straitastrum,4,0.1926,0.0048,10,5
laselva,10/7/2017,diplazium_straitastrum,5,0.2598,0.0078,10,5
laselva,10/7/2017,diplazium_straitastrum,6,0.3418,0.0093,10,5
laselva,20/7/2017,elaphoglossum_amygdalifolium,1,0.1244,0.0044,10,5
laselva,20/7/2017,elaphoglossum_amygdalifolium,2,0.2093,0.0057,10,5
laselva,20/7/2017,elaphoglossum_amygdalifolium,3,0.1358,0.0048,10,5
laselva,20/7/2017,elaphoglossum_amygdalifolium,4,0.0669,0.0057,10,5
laselva,20/7/2017,elaphoglossum_amygdalifolium,5,0.0801,0.0046,10,5
laselva,20/7/2017,elaphoglossum_amygdalifolium,6,0.0737,0.0049,10,5
laselva,19/7/2017,elaphoglossum_herminieri,1,0.3156,0.0195,10,5
laselva,19/7/2017,elaphoglossum_herminieri,2,0.2715,0.0176,10,5
laselva,19/7/2017,elaphoglossum_herminieri,3,0.3864,0.0259,10,5
laselva,19/7/2017,elaphoglossum_herminieri,4,0.3232,0.0141,10,5
laselva,19/7/2017,elaphoglossum_herminieri,5,0.312,0.0189,10,5
laselva,19/7/2017,elaphoglossum_herminieri,6,0.3313,0.0203,10,5
laselva,18/7/2017,elaphoglossum_latifolium,1,0.2629,0.0126,10,5
laselva,18/7/2017,elaphoglossum_latifolium,2,0.2312,0.0119,10,5
laselva,18/7/2017,elaphoglossum_latifolium,3,0.4919,0.0194,10,5
laselva,18/7/2017,elaphoglossum_latifolium,4,0.3535,0.0151,10,5
laselva,18/7/2017,elaphoglossum_latifolium,5,0.7173,0.0146,10,5
laselva,18/7/2017,elaphoglossum_latifolium,6,0.4462,0.0164,10,5
laselva,10/7/2017,lomariopsis_japurensis,1,0.3092,0.0056,10,5
laselva,10/7/2017,lomariopsis_japurensis,2,0.6008,0.0067,10,5
laselva,10/7/2017,lomariopsis_japurensis,3,0.7404,0.0076,10,5
laselva,10/7/2017,lomariopsis_japurensis,4,0.1997,0.0052,10,5
laselva,10/7/2017,lomariopsis_japurensis,5,0.334,0.0075,10,5
laselva,10/7/2017,lomariopsis_japurensis,6,0.4584,0.0115,10,5
laselva,10/7/2017,mickelia_nicotianifolia,1,0.2635,0.0055,10,5
laselva,10/7/2017,mickelia_nicotianifolia,2,0.2448,0.0049,10,5
laselva,10/7/2017,mickelia_nicotianifolia,3,0.5856,0.0047,10,5
laselva,10/7/2017,mickelia_nicotianifolia,4,0.2836,0.0062,10,5
laselva,10/7/2017,mickelia_nicotianifolia,5,0.2527,0.0062,10,5
laselva,10/7/2017,mickelia_nicotianifolia,6,0.1745,0.0048,10,5
laselva,20/7/2017,nephrolepis_biserrata,1,0.0948,0.0056,10,5
laselva,20/7/2017,nephrolepis_biserrata,2,0.0802,0.0048,10,5
laselva,20/7/2017,nephrolepis_biserrata,3,0.0521,0.0051,10,5
laselva,20/7/2017,nephrolepis_biserrata,6,0.1079,0.004,9,5
laselva,20/7/2017,nephrolepis_biserrata,8,0.139,0.0036,9,5
laselva,20/7/2017,nephrolepis_biserrata,9,0.1225,0.0041,10,5
laselva,20/7/2017,nephrolepis_rivularis,1,0.1475,0.0096,10,5
laselva,20/7/2017,nephrolepis_rivularis,2,0.1658,0.0098,10,5
laselva,20/7/2017,nephrolepis_rivularis,3,0.1177,0.009,10,5
laselva,20/7/2017,nephrolepis_rivularis,4,0.217,0.0107,10,5
laselva,20/7/2017,nephrolepis_rivularis,5,0.1386,0.0057,10,5
laselva,20/7/2017,nephrolepis_rivularis,6,0.1208,0.0074,10,5
laselva,19/7/2017,oleandra_articulata,1,0.1593,0.024,1,5
laselva,19/7/2017,oleandra_articulata,3,0.2095,0.0106,10,5
laselva,19/7/2017,oleandra_articulata,5,0.1757,0.0133,1,5
laselva,19/7/2017,oleandra_articulata,6,0.0793,0.0245,1,5
laselva,19/7/2017,oleandra_articulata,7,0.1114,0.0145,1,5
laselva,19/7/2017,oleandra_articulata,8,0.1202,,1,5
laselva,19/7/2017,pecluma_pectinata,1,0.1483,0.0134,20,2
laselva,19/7/2017,pecluma_pectinata,2,0.1187,0.016,10,5
laselva,19/7/2017,pecluma_pectinata,3,0.2497,0.0098,10,5
laselva,19/7/2017,pecluma_pectinata,4,0.1553,0.0083,10,5
laselva,19/7/2017,pecluma_pectinata,5,0.1528,0.0328,1,8.7
laselva,19/7/2017,pecluma_pectinata,6,0.113,0.0224,1,8.72
laselva,4/7/2017,phlebodium_aureum,1,0.3754,0.0041,10,5
laselva,4/7/2017,phlebodium_aureum,1r,0.7227,,10,5
laselva,4/7/2017,phlebodium_aureum,2,0.1995,0.0042,10,5
laselva,4/7/2017,phlebodium_aureum,2r,0.3456,,10,5
laselva,4/7/2017,phlebodium_aureum,3r,0.4609,,10,5
laselva,4/7/2017,phlebodium_aureum,3,0.1513,0.0063,10,5
laselva,4/7/2017,phlebodium_aureum,4,0.1586,0.0057,10,5
laselva,4/7/2017,phlebodium_aureum,5,0.4306,0.0058,10,5
laselva,4/7/2017,phlebodium_aureum,6,0.6399,0.0072,10,5
laselva,4/7/2017,phlebodium_aureum,7,,0.0047,10,5
laselva,4/7/2017,phlebodium_aureum,8,0.5816,0.0045,10,5
laselva,20/7/2017,pleopeltis_bradeorum,1,0.1609,0.0102,10,5
laselva,20/7/2017,pleopeltis_bradeorum,2,0.1557,0.0077,10,5
laselva,20/7/2017,pleopeltis_bradeorum,3,0.1083,0.0051,10,5
laselva,20/7/2017,pleopeltis_bradeorum,4,0.1234,0.0067,10,5
laselva,20/7/2017,pleopeltis_bradeorum,5,0.162,0.0096,10,5
laselva,20/7/2017,pleopeltis_bradeorum,6,0.2112,0.0137,10,5
laselva,8/7/2017,polybotrya_osmundacea,1,0.4614,0.0055,10,5
laselva,8/7/2017,polybotrya_osmundacea,2,0.5936,0.0065,10,5
laselva,8/7/2017,polybotrya_osmundacea,3,0.5991,0.008,10,5
laselva,8/7/2017,polybotrya_osmundacea,4,0.4963,0.0053,10,5
laselva,8/7/2017,polybotrya_osmundacea,5,0.519,0.006,10,5
laselva,8/7/2017,polybotrya_osmundacea,6,0.482,0.0053,10,5
laselva,10/7/2017,salpichlaena_volubilis,1,0.5986,0.0062,10,5
laselva,10/7/2017,salpichlaena_volubilis,2,0.9144,0.0079,10,5
laselva,10/7/2017,salpichlaena_volubilis,3,0.5882,0.0069,10,5
laselva,10/7/2017,salpichlaena_volubilis,4,0.4261,0.0078,10,5
laselva,10/7/2017,salpichlaena_volubilis,5,0.7331,0.0063,10,5
laselva,10/7/2017,salpichlaena_volubilis,6,0.6498,0.0063,10,5
laselva,8/7/2017,serpocaulon_loriciforme,10,0.0887,0.0044,10,2
laselva,8/7/2017,serpocaulon_loriciforme,9,0.1679,0.0043,10,2
laselva,8/7/2017,serpocaulon_loriciforme,3,0.0713,0.0032,10,2
laselva,8/7/2017,serpocaulon_loriciforme,4,0.0655,0.0053,10,2
laselva,8/7/2017,serpocaulon_loriciforme,12,0.1023,0.0036,10,2
laselva,8/7/2017,serpocaulon_loriciforme,6,0.1308,0.0044,10,2
laselva,10/7/2017,tectaria_incisa,1,0.4822,0.0039,10,5
laselva,10/7/2017,tectaria_incisa,2,0.4927,0.0037,10,5
laselva,10/7/2017,tectaria_incisa,3,0.663,0.0044,10,5
laselva,10/7/2017,tectaria_incisa,4,0.6126,0.0037,10,5
laselva,10/7/2017,tectaria_incisa,5,0.4616,0.0032,10,5
laselva,10/7/2017,tectaria_incisa,6,0.6043,0.0038,10,5
laselva,6/7/2017,thelypteris_curtii,1,0.3966,0.0014,10,2
laselva,6/7/2017,thelypteris_curtii,2,0.3984,0.0008,10,2
laselva,6/7/2017,thelypteris_curtii,3,0.2557,0.0012,10,2
laselva,6/7/2017,thelypteris_curtii,4,0.2466,0.0006,10,2
laselva,6/7/2017,thelypteris_curtii,5,0.1938,0.0016,10,2
laselva,6/7/2017,thelypteris_curtii,6,0.3517,0.0011,10,2
laselva,10/7/2017,thelypteris_dentata,1,0.3678,0.0083,10,5
laselva,10/7/2017,thelypteris_dentata,2,0.3397,0.0094,10,5
laselva,10/7/2017,thelypteris_dentata,3,0.1184,0.0085,10,5
laselva,10/7/2017,thelypteris_dentata,4,0.1126,0.0052,10,5
laselva,10/7/2017,thelypteris_dentata,6,0.1718,0.008,10,5
laselva,14/7/2017,thelypteris_nicaraguensis,1,0.2204,0.0067,10,5
laselva,14/7/2017,thelypteris_nicaraguensis,2,0.5349,0.0052,10,5
laselva,14/7/2017,thelypteris_nicaraguensis,3,0.5079,0.0069,10,5
laselva,14/7/2017,thelypteris_nicaraguensis,4,0.2278,0.0046,11,5
laselva,14/7/2017,thelypteris_nicaraguensis,5,0.2836,0.0074,10,5
laselva,14/7/2017,thelypteris_nicaraguensis,6,0.4047,0.0053,10,5
