site,species,plant_no,wet_weight_g,psi_bars
la_selva,asplenium_auritum,1,0.8863,2
la_selva,asplenium_auritum,1,0.8785,2.4
la_selva,asplenium_auritum,1,0.8776,2.8
la_selva,asplenium_auritum,1,0.875,2.9
la_selva,asplenium_auritum,1,0.8698,4
la_selva,asplenium_auritum,1,0.8704,5
la_selva,asplenium_auritum,1,0.8681,6.5
la_selva,asplenium_auritum,1,0.8661,6.5
la_selva,asplenium_auritum,1,0.8589,8
la_selva,asplenium_auritum,1,0.8493,9.9
la_selva,asplenium_auritum,1,0.8325,10.2
la_selva,asplenium_auritum,1,0.8258,11.1
la_selva,asplenium_auritum,3,1.1602,1.9
la_selva,asplenium_auritum,3,1.1526,2
la_selva,asplenium_auritum,3,1.1487,2.1
la_selva,asplenium_auritum,3,1.1418,2.3
la_selva,asplenium_auritum,3,1.1309,2.9
la_selva,asplenium_auritum,3,1.1201,4
la_selva,asplenium_auritum,3,1.1185,7.1
la_selva,asplenium_auritum,3,1.1005,9
la_selva,asplenium_auritum,3,1.0969,12.2
la_selva,asplenium_auritum,3,1.0737,13
la_selva,asplenium_auritum,3,1.0567,13
la_selva,asplenium_auritum,4,0.6821,1
la_selva,asplenium_auritum,4,0.678,1.5
la_selva,asplenium_auritum,4,0.6699,2.1
la_selva,asplenium_auritum,4,0.6572,2
la_selva,asplenium_auritum,4,0.6469,2
la_selva,asplenium_auritum,4,0.6361,3.1
la_selva,asplenium_auritum,4,0.6203,6
la_selva,asplenium_auritum,4,0.6091,6.9
la_selva,asplenium_auritum,4,0.6002,8
la_selva,asplenium_auritum,4,0.5875,8.8
la_selva,asplenium_auritum,4,0.5761,9
la_selva,asplenium_auritum,5,1.37,1.8
la_selva,asplenium_auritum,5,1.3381,2
la_selva,asplenium_auritum,5,1.3271,2.3
la_selva,asplenium_auritum,5,1.3148,2.6
la_selva,asplenium_auritum,5,1.3052,5
la_selva,asplenium_auritum,5,1.2598,12.1
la_selva,asplenium_auritum,5,1.2388,14
la_selva,asplenium_auritum,5,1.2232,14.9
la_selva,asplenium_auritum,6,1.3042,1.8
la_selva,asplenium_auritum,6,1.2971,2.2
la_selva,asplenium_auritum,6,1.2906,2.6
la_selva,asplenium_auritum,6,1.2826,2.8
la_selva,asplenium_auritum,6,1.2575,2.9
la_selva,asplenium_auritum,6,1.242,2.9
la_selva,asplenium_auritum,6,1.2147,3.5
la_selva,asplenium_auritum,6,1.1862,5.9
la_selva,asplenium_auritum,6,1.163,6.8
la_selva,asplenium_auritum,6,1.148,7
la_selva,asplenium_auritum,6,1.111,7.8
la_selva,asplenium_auritum,6,1.0857,8.8
la_selva,asplenium_auritum,2,0.8185,2.58
la_selva,asplenium_auritum,2,0.8109,8
la_selva,asplenium_auritum,2,0.8095,8.1
la_selva,asplenium_auritum,2,0.8065,8.4
la_selva,asplenium_auritum,2,0.8007,10.5
la_selva,asplenium_auritum,2,0.7926,11.7
la_selva,asplenium_auritum,2,0.7785,12.7
la_selva,asplenium_juglandifolia,1,1.5324,0.1
la_selva,asplenium_juglandifolia,1,1.5252,1
la_selva,asplenium_juglandifolia,1,1.5184,1
la_selva,asplenium_juglandifolia,1,1.5152,1.5
la_selva,asplenium_juglandifolia,1,1.5109,2
la_selva,asplenium_juglandifolia,1,1.5062,2
la_selva,asplenium_juglandifolia,1,1.4986,3.9
la_selva,asplenium_juglandifolia,1,1.4912,4.9
la_selva,asplenium_juglandifolia,1,1.4865,5.2
la_selva,asplenium_juglandifolia,1,1.4711,7
la_selva,asplenium_juglandifolia,1,1.4631,7
la_selva,asplenium_juglandifolia,1,1.4521,8
la_selva,asplenium_juglandifolia,1,1.4396,8.9
la_selva,asplenium_juglandifolia,1,1.4213,10.5
la_selva,asplenium_juglandifolia,1,1.4054,12
la_selva,asplenium_juglandifolia,1,1.346,12.1
la_selva,asplenium_juglandifolia,1,1.1806,14.9
la_selva,asplenium_juglandifolia,2,1.0859,1.9
la_selva,asplenium_juglandifolia,2,1.0822,3
la_selva,asplenium_juglandifolia,2,1.0777,4.2
la_selva,asplenium_juglandifolia,2,1.0716,6
la_selva,asplenium_juglandifolia,2,1.0664,6.9
la_selva,asplenium_juglandifolia,2,1.076,7.2
la_selva,asplenium_juglandifolia,2,1.0816,8.9
la_selva,asplenium_juglandifolia,2,1.0725,11.3
la_selva,asplenium_juglandifolia,2,1.0452,10.5
la_selva,asplenium_juglandifolia,2,1.0121,12.2
la_selva,asplenium_juglandifolia,2,0.9481,16.1
la_selva,asplenium_juglandifolia,3,1.4901,0.7
la_selva,asplenium_juglandifolia,3,1.4856,0.7
la_selva,asplenium_juglandifolia,3,1.4811,1.3
la_selva,asplenium_juglandifolia,3,1.4743,2
la_selva,asplenium_juglandifolia,3,1.4673,2.6
la_selva,asplenium_juglandifolia,3,1.4556,3.9
la_selva,asplenium_juglandifolia,3,1.4462,5.1
la_selva,asplenium_juglandifolia,3,1.4334,6
la_selva,asplenium_juglandifolia,3,1.4226,8.9
la_selva,asplenium_juglandifolia,3,1.4131,12
la_selva,asplenium_juglandifolia,3,1.4013,11
la_selva,asplenium_juglandifolia,3,1.3498,13.2
la_selva,asplenium_juglandifolia,3,1.2969,15.1
la_selva,asplenium_juglandifolia,4,0.7884,12.4
la_selva,asplenium_juglandifolia,4,0.7779,2.4
la_selva,asplenium_juglandifolia,4,0.7733,3
la_selva,asplenium_juglandifolia,4,0.7666,4
